country,indicator,Year,Value
Australia,Silver,1928,2
Australia,Silver,1932,1
Australia,Silver,1936,0
Australia,Silver,1948,6
Australia,Silver,1952,2
Australia,Silver,1956,8
Australia,Silver,1960,8
Australia,Silver,1964,2
Australia,Silver,1968,7
Australia,Silver,1972,7
Australia,Silver,1976,1
Australia,Silver,1980,2
Australia,Silver,1984,8
Australia,Silver,1988,6
Australia,Silver,1992,9
Australia,Silver,1996,9
Australia,Silver,2000,25
Australia,Silver,2004,16
Australia,Silver,2008,15
Australia,Silver,2012,17
Australia,Silver,2016,0
Australia,Bronze,1896,0
Australia,Bronze,1900,3
Australia,Bronze,1920,1
Australia,Bronze,1924,2
Australia,Bronze,1928,1
Australia,Bronze,1932,1
Australia,Bronze,1936,1
Australia,Bronze,1948,5
Australia,Bronze,1952,3
Australia,Bronze,1956,14
Australia,Bronze,1960,6
Australia,Bronze,1964,10
Australia,Bronze,1968,5
Australia,Bronze,1972,2
Australia,Bronze,1976,4
Australia,Bronze,1980,5
Australia,Bronze,1984,12
Australia,Bronze,1988,5
Australia,Bronze,1992,11
Australia,Bronze,1996,23
Australia,Bronze,2000,17
Australia,Bronze,2004,17
Australia,Bronze,2008,17
Australia,Bronze,2012,12
Australia,Bronze,2016,5
Austria,Total,1896,5
Austria,Total,1900,6
Austria,Total,1904,1
Austria,Total,1908,1
Austria,Total,1912,4
Austria,Total,1924,4
Austria,Total,1928,3
Austria,Total,1932,5
Austria,Total,1936,13
Austria,Total,1948,4
Austria,Total,1952,2
Austria,Total,1956,2
Austria,Total,1960,2
Austria,Total,1968,4
Austria,Total,1972,3
Austria,Total,1976,1
Austria,Total,1980,4
Austria,Total,1984,3
Austria,Total,1988,1
Austria,Total,1992,2
Austria,Total,1996,3
Austria,Total,2000,3
Austria,Total,2004,7
Austria,Total,2008,3
Austria,Gold,1896,2
Austria,Gold,1900,0
Austria,Gold,1904,0
Austria,Gold,1908,0
Austria,Gold,1912,0
Austria,Gold,1924,0
Austria,Gold,1928,2
Austria,Gold,1932,1
Austria,Gold,1936,4
Austria,Gold,1948,1
Austria,Gold,1952,0
Austria,Gold,1956,0
Austria,Gold,1960,1
Austria,Gold,1968,0
Austria,Gold,1972,0
Austria,Gold,1976,0
Austria,Gold,1980,1
Austria,Gold,1984,1
Austria,Gold,1988,1
Austria,Gold,1992,0
Austria,Gold,1996,0
Austria,Gold,2000,2
Austria,Gold,2004,2
Austria,Gold,2008,0
Austria,Silver,1896,1
Austria,Silver,1900,3
Austria,Silver,1904,0
Austria,Silver,1908,0
Austria,Silver,1912,2
Austria,Silver,1924,3
Austria,Silver,1928,0
Austria,Silver,1932,1
Austria,Silver,1936,6
Austria,Silver,1948,0
Austria,Silver,1952,1
Austria,Silver,1956,0
Austria,Silver,1960,1
Austria,Silver,1968,2
Austria,Silver,1972,1
Austria,Silver,1976,0
Austria,Silver,1980,2
Austria,Silver,1984,1
Austria,Silver,1988,0
Austria,Silver,1992,2
Austria,Silver,1996,1
Austria,Silver,2000,1
Austria,Silver,2004,4
Austria,Silver,2008,1
Austria,Bronze,1896,2
Austria,Bronze,1900,3
Austria,Bronze,1904,1
Austria,Bronze,1908,1
Austria,Bronze,1912,2
Austria,Bronze,1924,1
Austria,Bronze,1928,1
Austria,Bronze,1932,3
Austria,Bronze,1936,3
Austria,Bronze,1948,3
Austria,Bronze,1952,1
Austria,Bronze,1956,2
Austria,Bronze,1960,0
Austria,Bronze,1968,2
Austria,Bronze,1972,2
Austria,Bronze,1976,1
Austria,Bronze,1980,1
Austria,Bronze,1984,1
Austria,Bronze,1988,0
Austria,Bronze,1992,0
Austria,Bronze,1996,2
Austria,Bronze,2000,0
Austria,Bronze,2004,1
Austria,Bronze,2008,2
Azerbaijan,Total,1996,1
Azerbaijan,Total,2000,3
Azerbaijan,Total,2004,5
Azerbaijan,Total,2008,7
Azerbaijan,Total,2012,10
Azerbaijan,Total,2016,1
Azerbaijan,Gold,1996,0
Azerbaijan,Gold,2000,2
Azerbaijan,Gold,2004,1
Azerbaijan,Gold,2008,1
Azerbaijan,Gold,2012,2
Azerbaijan,Gold,2016,0
Azerbaijan,Silver,1996,1
Azerbaijan,Silver,2000,0
Azerbaijan,Silver,2004,0
Azerbaijan,Silver,2008,2
Azerbaijan,Silver,2012,2
Azerbaijan,Silver,2016,1
Azerbaijan,Bronze,1996,0
Azerbaijan,Bronze,2000,1
Azerbaijan,Bronze,2004,4
Azerbaijan,Bronze,2008,4
Azerbaijan,Bronze,2012,6
Azerbaijan,Bronze,2016,0
Bahamas,Total,1956,1
Bahamas,Total,1964,1
Bahamas,Total,1992,1
Bahamas,Total,1996,1
Bahamas,Total,2000,3
Bahamas,Total,2004,2
Bahamas,Total,2008,2
Bahamas,Total,2012,1
Bahamas,Gold,1956,0
Bahamas,Gold,1964,1
Bahamas,Gold,1992,0
Bahamas,Gold,1996,0
Bahamas,Gold,2000,2
Bahamas,Gold,2004,1
Bahamas,Gold,2008,0
Bahamas,Gold,2012,1
Bahamas,Silver,1956,0
Bahamas,Silver,1964,0
Bahamas,Silver,1992,0
Bahamas,Silver,1996,1
Bahamas,Silver,2000,0
Bahamas,Silver,2004,0
Bahamas,Silver,2008,1
Bahamas,Silver,2012,0
Bahamas,Bronze,1956,1
Bahamas,Bronze,1964,0
Bahamas,Bronze,1992,1
Bahamas,Bronze,1996,0
Bahamas,Bronze,2000,1
Bahamas,Bronze,2004,1
Bahamas,Bronze,2008,1
Bahamas,Bronze,2012,0
Bahrain,Total,2012,1
Bahrain,Gold,2012,0
Bahrain,Silver,2012,0
Bahrain,Bronze,2012,1
Barbados,Total,2000,1
Barbados,Gold,2000,0
Barbados,Silver,2000,0
Barbados,Bronze,2000,1
Belarus,Total,1996,15
Belarus,Total,2000,17
Belarus,Total,2004,13
Belarus,Total,2008,18
Belarus,Total,2012,12
Belarus,Gold,1996,1
Belarus,Gold,2000,3
Belarus,Gold,2004,2
Belarus,Gold,2008,4
Belarus,Gold,2012,2
Belarus,Silver,1996,6
Belarus,Silver,2000,3
Belarus,Silver,2004,5
Belarus,Silver,2008,5
Belarus,Silver,2012,5
Belarus,Bronze,1996,8
Belarus,Bronze,2000,11
Belarus,Bronze,2004,6
Belarus,Bronze,2008,9
Belarus,Bronze,2012,5
Belgium,Total,1900,15
Belgium,Total,1908,8
Belgium,Total,1912,6
Belgium,Total,1920,36
Belgium,Total,1924,13
Belgium,Total,1928,3
Belgium,Total,1936,2
Belgium,Total,1948,7
Belgium,Total,1952,4
Belgium,Total,1956,2
Belgium,Total,1960,4
Belgium,Total,1964,3
Belgium,Total,1968,2
Belgium,Total,1972,2
Belgium,Total,1976,6
Belgium,Total,1980,1
Belgium,Total,1984,4
Belgium,Total,1988,2
Belgium,Total,1992,3
Belgium,Total,1996,6
Belgium,Total,2000,5
Belgium,Total,2004,3
Belgium,Total,2008,2
Belgium,Total,2012,3
Belgium,Total,2016,2
Belgium,Gold,1900,5
Belgium,Gold,1908,1
Belgium,Gold,1912,2
Belgium,Gold,1920,14
Belgium,Gold,1924,3
Belgium,Gold,1928,0
Belgium,Gold,1936,0
Belgium,Gold,1948,2
Belgium,Gold,1952,2
Belgium,Gold,1956,0
Belgium,Gold,1960,0
Belgium,Gold,1964,2
Belgium,Gold,1968,0
Belgium,Gold,1972,0
Belgium,Gold,1976,0
Belgium,Gold,1980,1
Belgium,Gold,1984,1
Belgium,Gold,1988,0
Belgium,Gold,1992,0
Belgium,Gold,1996,2
Belgium,Gold,2000,0
Belgium,Gold,2004,1
Belgium,Gold,2008,1
Belgium,Gold,2012,0
Belgium,Gold,2016,1
Belgium,Silver,1900,5
Belgium,Silver,1908,5
Belgium,Silver,1912,1
Belgium,Silver,1920,11
Belgium,Silver,1924,7
Belgium,Silver,1928,1
Belgium,Silver,1936,0
Belgium,Silver,1948,2
Belgium,Silver,1952,2
Belgium,Silver,1956,2
Belgium,Silver,1960,2
Belgium,Silver,1964,0
Belgium,Silver,1968,1
Belgium,Silver,1972,2
Belgium,Silver,1976,3
Belgium,Silver,1980,0
Belgium,Silver,1984,1
Belgium,Silver,1988,0
Belgium,Silver,1992,1
Belgium,Silver,1996,2
Belgium,Silver,2000,2
Belgium,Silver,2004,0
Belgium,Silver,2008,1
Belgium,Silver,2012,1
Belgium,Silver,2016,0
Belgium,Bronze,1900,5
Belgium,Bronze,1908,2
Belgium,Bronze,1912,3
Belgium,Bronze,1920,11
Belgium,Bronze,1924,3
Belgium,Bronze,1928,2
Belgium,Bronze,1936,2
Belgium,Bronze,1948,3
Belgium,Bronze,1952,0
Belgium,Bronze,1956,0
Belgium,Bronze,1960,2
Belgium,Bronze,1964,1
Belgium,Bronze,1968,1
Belgium,Bronze,1972,0
Belgium,Bronze,1976,3
Belgium,Bronze,1980,0
Belgium,Bronze,1984,2
Belgium,Bronze,1988,2
Belgium,Bronze,1992,2
Belgium,Bronze,1996,2
Belgium,Bronze,2000,3
Belgium,Bronze,2004,2
Belgium,Bronze,2008,0
Belgium,Bronze,2012,2
Belgium,Bronze,2016,1
Bermuda,Total,1976,1
Bermuda,Gold,1976,0
Bermuda,Silver,1976,0
Bermuda,Bronze,1976,1
Bohemia,Total,1900,2
Bohemia,Total,1908,2
Bohemia,Gold,1900,0
Bohemia,Gold,1908,0
Bohemia,Silver,1900,1
Bohemia,Silver,1908,0
Bohemia,Bronze,1900,1
Bohemia,Bronze,1908,2
Botswana,Total,2012,1
Botswana,Gold,2012,0
Botswana,Silver,2012,1
Botswana,Bronze,2012,0
Brazil,Total,1920,3
Brazil,Total,1948,1
Brazil,Total,1952,3
Brazil,Total,1956,1
Brazil,Total,1960,2
Brazil,Total,1964,1
Brazil,Total,1968,3
Brazil,Total,1972,2
Brazil,Total,1976,2
Brazil,Total,1980,4
Brazil,Total,1984,8
Brazil,Total,1988,6
Brazil,Total,1992,3
Brazil,Total,1996,15
Brazil,Total,2000,12
Brazil,Total,2004,10
Brazil,Total,2008,15
Brazil,Total,2012,17
Brazil,Total,2016,2
Brazil,Gold,1920,1
Brazil,Gold,1948,0
Brazil,Gold,1952,1
Brazil,Gold,1956,1
Brazil,Gold,1960,0
Brazil,Gold,1964,0
Brazil,Gold,1968,0
Brazil,Gold,1972,0
Brazil,Gold,1976,0
Brazil,Gold,1980,2
Brazil,Gold,1984,1
Brazil,Gold,1988,1
Brazil,Gold,1992,2
Brazil,Gold,1996,3
Brazil,Gold,2000,0
Brazil,Gold,2004,5
Brazil,Gold,2008,3
Brazil,Gold,2012,3
Brazil,Gold,2016,1
Brazil,Silver,1920,1
Brazil,Silver,1948,0
Brazil,Silver,1952,0
Brazil,Silver,1956,0
Brazil,Silver,1960,0
Brazil,Silver,1964,0
Brazil,Silver,1968,1
Brazil,Silver,1972,0
Brazil,Silver,1976,0
Brazil,Silver,1980,0
Brazil,Silver,1984,5
Brazil,Silver,1988,2
Brazil,Silver,1992,1
Brazil,Silver,1996,3
Brazil,Silver,2000,6
Brazil,Silver,2004,2
Brazil,Silver,2008,4
Brazil,Silver,2012,5
Brazil,Silver,2016,1
Brazil,Bronze,1920,1
Brazil,Bronze,1948,1
Brazil,Bronze,1952,2
Brazil,Bronze,1956,0
Brazil,Bronze,1960,2
Brazil,Bronze,1964,1
Brazil,Bronze,1968,2
Brazil,Bronze,1972,2
Brazil,Bronze,1976,2
Brazil,Bronze,1980,2
Brazil,Bronze,1984,2
Brazil,Bronze,1988,3
Brazil,Bronze,1992,0
Brazil,Bronze,1996,9
Brazil,Bronze,2000,6
Brazil,Bronze,2004,3
Brazil,Bronze,2008,8
Brazil,Bronze,2012,9
Brazil,Bronze,2016,0
British West Indies,Total,1960,2
British West Indies,Gold,1960,0
British West Indies,Silver,1960,0
British West Indies,Bronze,1960,2
Bulgaria,Total,1952,1
Bulgaria,Total,1956,5
Bulgaria,Total,1960,7
Bulgaria,Total,1964,10
Bulgaria,Total,1968,9
Bulgaria,Total,1972,21
Bulgaria,Total,1976,22
Bulgaria,Total,1980,41
Bulgaria,Total,1988,35
Bulgaria,Total,1992,16
Bulgaria,Total,1996,15
Bulgaria,Total,2000,13
Bulgaria,Total,2004,12
Bulgaria,Total,2008,5
Bulgaria,Total,2012,2
Bulgaria,Gold,1952,0
Bulgaria,Gold,1956,1
Bulgaria,Gold,1960,1
Bulgaria,Gold,1964,3
Bulgaria,Gold,1968,2
Bulgaria,Gold,1972,6
Bulgaria,Gold,1976,6
Bulgaria,Gold,1980,8
Bulgaria,Gold,1988,10
Bulgaria,Gold,1992,3
Bulgaria,Gold,1996,3
Bulgaria,Gold,2000,5
Bulgaria,Gold,2004,2
Bulgaria,Gold,2008,1
Bulgaria,Gold,2012,0
Bulgaria,Silver,1952,0
Bulgaria,Silver,1956,3
Bulgaria,Silver,1960,3
Bulgaria,Silver,1964,5
Bulgaria,Silver,1968,4
Bulgaria,Silver,1972,10
Bulgaria,Silver,1976,9
Bulgaria,Silver,1980,16
Bulgaria,Silver,1988,12
Bulgaria,Silver,1992,7
Bulgaria,Silver,1996,7
Bulgaria,Silver,2000,6
Bulgaria,Silver,2004,1
Bulgaria,Silver,2008,1
Bulgaria,Silver,2012,1
Bulgaria,Bronze,1952,1
Bulgaria,Bronze,1956,1
Bulgaria,Bronze,1960,3
Bulgaria,Bronze,1964,2
Bulgaria,Bronze,1968,3
Bulgaria,Bronze,1972,5
Bulgaria,Bronze,1976,7
Bulgaria,Bronze,1980,17
Bulgaria,Bronze,1988,13
Bulgaria,Bronze,1992,6
Bulgaria,Bronze,1996,5
Bulgaria,Bronze,2000,2
Bulgaria,Bronze,2004,9
Bulgaria,Bronze,2008,3
Bulgaria,Bronze,2012,1
Burundi,Total,1996,1
Burundi,Gold,1996,1
Burundi,Silver,1996,0
Burundi,Bronze,1996,0
Cameroon,Total,1968,1
Cameroon,Total,1984,1
Cameroon,Total,2000,1
Cameroon,Total,2004,1
Cameroon,Total,2008,1
Cameroon,Gold,1968,0
Cameroon,Gold,1984,0
Cameroon,Gold,2000,1
Cameroon,Gold,2004,1
Cameroon,Gold,2008,1
Cameroon,Silver,1968,1
Cameroon,Silver,1984,0
Cameroon,Silver,2000,0
Cameroon,Silver,2004,0
Cameroon,Silver,2008,0
Cameroon,Bronze,1968,0
Cameroon,Bronze,1984,1
Cameroon,Bronze,2000,0
Cameroon,Bronze,2004,0
Cameroon,Bronze,2008,0
Canada,Total,1900,2
Canada,Total,1904,6
Canada,Total,1908,16
Canada,Total,1912,8
Canada,Total,1920,9
Canada,Total,1924,4
Canada,Total,1928,15
Canada,Total,1932,15
Canada,Total,1936,9
Canada,Total,1948,3
Canada,Total,1952,3
Canada,Total,1956,6
Canada,Total,1960,1
Canada,Total,1964,4
Canada,Total,1968,5
Canada,Total,1972,5
Canada,Total,1976,11
Canada,Total,1984,44
Canada,Total,1988,10
Canada,Total,1992,18
Canada,Total,1996,22
Canada,Total,2000,14
Canada,Total,2004,12
Canada,Total,2008,19
Canada,Total,2012,18
Canada,Total,2016,5
Canada,Gold,1900,1
Canada,Gold,1904,4
Canada,Gold,1908,3
Canada,Gold,1912,3
Canada,Gold,1920,3
Canada,Gold,1924,0
Canada,Gold,1928,4
Canada,Gold,1932,2
Canada,Gold,1936,1
Canada,Gold,1948,0
Canada,Gold,1952,1
Canada,Gold,1956,2
Canada,Gold,1960,0
Canada,Gold,1964,1
Canada,Gold,1968,1
Canada,Gold,1972,0
Canada,Gold,1976,0
Canada,Gold,1984,10
Canada,Gold,1988,3
Canada,Gold,1992,7
Canada,Gold,1996,3
Canada,Gold,2000,3
Canada,Gold,2004,3
Canada,Gold,2008,3
Canada,Gold,2012,1
Canada,Gold,2016,0
Canada,Silver,1900,0
Canada,Silver,1904,1
Canada,Silver,1908,3
Canada,Silver,1912,2
Canada,Silver,1920,3
Canada,Silver,1924,3
Canada,Silver,1928,4
Canada,Silver,1932,5
Canada,Silver,1936,3
Canada,Silver,1948,1
Canada,Silver,1952,2
Canada,Silver,1956,1
Canada,Silver,1960,1
Canada,Silver,1964,2
Canada,Silver,1968,3
Canada,Silver,1972,2
Canada,Silver,1976,5
